id,longitude,latitude,easting,northing,sg_bdod,sg_cec,sg_cfvo,sg_clay,sg_nitrogen,sg_ocd,sg_phh2o,sg_sand,sg_silt,sg_soc
1,-73.79,-13.109999999999996,631164.8244706271,8550385.558469657,1.210729718208313,21.510847091674805,23.77545738220215,27.712919235229492,3.348114490509033,26.89128875732422,6.148574352264404,38.22452926635742,34.1417350769043,22.900836944580078
2,-73.82,-13.060000000000002,627938.173269181,8555931.354818793,1.1299999952316284,25.989521026611328,24.153385162353516,22.239168167114258,5.778265953063965,34.27629470825195,6.318925857543945,43.01774215698242,34.76201629638672,45.77040481567383
3,-73.89,-12.949999999999992,620400.7839559754,8568132.192631401,1.2000000476837158,22.630008697509766,28.732864379882813,25.138729095458984,5.259549140930176,28.693992614746094,6.393991470336914,37.56822967529297,37.26335525512695,30.162757873535156
4,-73.96,-12.909999999999993,612825.131795233,8572588.210776053,1.1989182233810425,19.801734924316406,27.797496795654297,25.683639526367188,3.9723310470581055,25.371990203857422,6.356380462646484,38.28447723388672,36.031883239746094,23.477842330932617
5,-73.87,-13.069999999999997,622511.4829056632,8554849.993418418,1.23678719997406,23.54808807373047,21.60492515563965,28.92167854309082,3.298541784286499,25.505828857421875,6.232127666473389,37.6685676574707,33.40975570678711,24.176605224609375
6,-74.04,-12.879999999999995,604157.916433861,8575940.042287286,1.2137115001678467,23.261493682861328,26.21055030822754,26.268234252929688,5.359020709991455,27.78158950805664,6.262435436248779,40.22576904296875,33.546260833740234,27.86253547668457
7,-74.05,-12.919999999999996,603056.4701029649,8571520.107511843,1.2335028648376465,28.223058700561523,24.69449806213379,27.17597198486328,3.5882089138031006,28.381210327148438,6.473303318023682,40.01639175415039,32.838844299316406,32.54408264160156
8,-74,-12.940000000000005,608472.3418276886,8569287.44812601,1.2400000095367432,24.93791961669922,22.848976135253906,27.77312469482422,3.0463762283325195,22.207611083984375,6.599999904632568,38.63991165161133,33.59327697753906,20.6614933013916
9,-74.1,-12.930000000000005,597628.143719377,8570433.71029617,1.2031699419021606,25.95684242248535,28.7288761138916,25.035614013671875,5.186309337615967,26.074783325195313,6.20621395111084,41.74397659301758,33.23442077636719,28.654659271240234
10,-74.09,-12.969999999999999,598697.2356830921,8566005.938070538,1.1794897317886353,24.634458541870117,19.33289909362793,25.136337280273438,6.207732677459717,30.237138748168945,6.0011467933654785,41.39132308959961,33.56494903564453,28.002227783203125
11,-73.94,-13.099999999999989,614907.5681670317,8551564.678713873,1.308239221572876,24.10162353515625,30.401592254638672,27.104530334472656,1.9717628955841064,21.763761520385742,6.696538925170898,39.603904724121094,33.28810501098633,21.270584106445313
12,-73.98,-13.079999999999997,610579.9313351345,8553794.578203535,1.2109246253967285,22.273788452148438,20.501327514648438,28.60112953186035,3.8121495246887207,25.201250076293945,6.2882490158081055,39.63587951660156,31.779888153076172,21.248302459716797
13,-73.81,-13.110000000000003,628996.5268936726,8550395.860575318,1.2470921277999878,22.181638717651367,25.81022071838379,26.83675193786621,2.5946927070617676,23.058456420898438,6.437901496887207,39.19385528564453,33.969390869140625,22.739856719970703
14,-74.07,-12.859999999999998,600910.7160516421,8578163.978159077,1.1814442873001099,23.275636672973633,22.133563995361328,24.37846565246582,5.2226948738098145,29.898019790649414,6.082615375518799,42.17594528198242,33.39289474487305,31.609619140625
15,-73.9,-12.999999999999995,619292.1294607631,8562606.658097574,1.1868643760681152,21.958913803100586,28.93889617919922,31.997875213623047,3.6042304039001465,24.249298095703125,6.057735443115234,34.62464141845703,33.37748336791992,28.436931610107422
16,-73.9,-13.110000000000005,619239.360063858,8550440.093887175,1.2767916917800903,21.937150955200195,16.158510208129883,26.635833740234375,1.7202528715133667,22.7971248626709,6.403836727142334,39.03420639038086,34.329959869384766,24.957826614379883
17,-73.82,-13.170000000000007,627881.3077304763,8543764.430970931,1.245763897895813,18.851642608642578,32.73003005981445,31.6512451171875,2.201616048812866,21.63021469116211,6.128862380981445,39.81496047973633,28.506887435913086,20.596662521362305
18,-73.91,-13.150000000000011,618136.1254610525,8546020.577395376,1.2863024473190308,19.14109230041504,27.909624099731445,29.449384689331055,1.593658685684204,20.591482162475586,6.848413467407227,37.69937515258789,32.8843879699707,16.59770393371582
19,-73.97,-13.069999999999991,611668.6518833474,8554896.218352119,1.2417454719543457,24.407888412475586,26.833293914794922,29.067752838134766,2.4740073680877686,22.700212478637695,6.500439167022705,36.062355041503906,34.772274017333984,20.673376083374023
