"id","longitude","latitude","BI","DVI","GLI","GNDVI","MBI","MSAVI","NBR","NDMI","NDVI","VARI"
1,-73.79,-13.11,0.0599216185510159,0.154164999723434,0.0861101597547531,0.577056288719177,0.228721022605896,0.255820423364639,0.230703517794609,0.0354484282433987,0.502305209636688,-0.131615862250328
2,-73.82,-13.06,0.0308952201157808,0.110577501356602,0.0654326602816582,0.631988644599915,0.211433872580528,0.196981206536293,0.30148184299469,0.0819950923323631,0.528762698173523,-0.185372680425644
3,-73.89,-12.95,-0.0712665542960167,0.144127503037453,0.176481395959854,0.698967218399048,0.167627707123756,0.262350678443909,0.420663356781006,0.172731846570969,0.664296805858612,-0.0737425088882446
4,-73.96,-12.91,0.103083215653896,0.14588750898838,0.0873819664120674,0.63047730922699,0.276473134756088,0.250095456838608,0.233426108956337,-0.0143093438819051,0.538603544235229,-0.164236560463905
5,-73.87,-13.07,0.230427131056786,0.152075007557869,0.0225480291992426,0.562937140464783,0.351923197507858,0.239222049713135,0.058003906160593,-0.167611420154572,0.424127072095871,-0.225236088037491
6,-74.04,-12.88,0.199218809604645,0.135492503643036,0.0200635399669409,0.551251530647278,0.314732849597931,0.21892249584198,0.0461057350039482,-0.135761350393295,0.421776384115219,-0.21469746530056
7,-74.05,-12.92,-0.0708345919847488,0.130350008606911,0.146864116191864,0.730119347572327,0.148251950740814,0.23960380256176,0.395220130681992,0.18522672355175,0.660669028759003,-0.145361125469208
8,-74,-12.94,0.0658013299107552,0.104885004460812,0.0241943392902613,0.538098275661469,0.220031410455704,0.177973002195358,0.233508303761482,0.0459731593728065,0.416623651981354,-0.20210924744606
9,-74.1,-12.93,0.282965809106827,0.0874775052070618,0.0273015219718218,0.467646807432175,0.346967577934265,0.146475836634636,-0.115262068808079,-0.248263478279114,0.345177620649338,-0.191042959690094
10,-74.09,-12.97,0.184584528207779,0.15743750333786,0.045992836356163,0.542851626873016,0.315152138471603,0.24838362634182,0.0735675320029259,-0.123449601233006,0.438981741666794,-0.174716889858246
11,-73.94,-13.1,-0.018090233206749,0.166044995188713,0.0918401479721069,0.637382030487061,0.203139901161194,0.287407457828522,0.309041708707809,0.0938696190714836,0.599808573722839,-0.0811872854828835
12,-73.98,-13.08,0.255668550729752,0.116572491824627,0.0271809939295053,0.508510947227478,0.358604580163956,0.189858853816986,-0.0232699569314718,-0.212699338793755,0.386927306652069,-0.196079611778259
13,-73.81,-13.11,0.0339859314262867,0.106672495603561,0.104988873004913,0.630779922008514,0.236518323421478,0.192981913685799,0.336512297391891,0.0681982785463333,0.556085526943207,-0.136844143271446
14,-74.07,-12.86,-0.0400726199150085,0.269568741321564,0.117835231125355,0.689801931381226,0.199924886226654,0.42737203836441,0.394133150577545,0.128451436758041,0.642869293689728,-0.102896824479103
15,-73.9,-13,0.0985810533165932,0.103207498788834,0.101500928401947,0.62431788444519,0.266613304615021,0.185022205114365,0.264383018016815,0.00848663691431284,0.522734999656677,-0.170834630727768
16,-73.9,-13.11,0.0908651575446129,0.120890006422997,-0.0180360954254866,0.49261662364006,0.21679225564003,0.188477620482445,0.146627426147461,0.0130042620003223,0.345013111829758,-0.241436064243317
